	company_name	industry_name	industryID	first_date	first_employees_on_platform	first_followers_count	last_date	last_employees_on_platform	last_followers_count	slope1	r_value1	slope2	r_value2	z-score1	z-score2	industry_total
1556	Aon	Financial Services	20	2016-08-19 00:00:00	15243	125278	2018-07-17 00:00:00	58309	495821	13083.390488163708	0.7479864456414336	0.00030356533189386715	0.06929466363969175	5.38473327487169	0.7337031743652932	286
1158	Eni	Oil & Energy	12	2017-11-01 00:00:00	21502	423692	2018-07-17 00:00:00	23788	530408	14567.582045566502	0.9678212375452501	0.0003138504294306949	0.08166201817055972	4.404100780336114	0.86331640374869	199
187	Western Digital	Information Technology and Services	6	2017-02-15 00:00:00	7912	57260	2018-07-17 00:00:00	22635	173189	8020.390707439189	0.8532505456248028	0.00029080482978819804	0.02906697678407977	0.9495956250052869	0.9021607949122844	194
1871	GGP Inc.	Real Estate	22	2017-01-03 00:00:00	2545	23947	2017-01-11 00:00:00	2566	24054	392.5000000009004	0.9944200505432481	0.0014648335672623387	0.5038878244159759	1.2166731450750505	0.8465345403308525	161
4927	YouTube	Internet	9	2017-11-01 00:00:00	37737	302362	2018-02-17 00:00:00	41598	330234	10573.52755525642	0.9091500404561734	0.0002830455312144416	0.053064629270227	0.6236082346503438	0.8774018588453422	151
812	Telefónica	Telecommunications	26	2016-10-18 00:00:00	79436	258036	2018-07-17 00:00:00	93067	518489	10943.1347537275	0.8207211606365443	0.00014045028390425942	0.07869122425918909	4.134141996686052	0.6523860504391205	134
3268	BBDO Worldwide	Marketing and Advertising	62	2017-11-01 00:00:00	3232	182657	2018-07-17 00:00:00	3128	198386	2329.8984436488013	0.960778475604458	2.426265124831676e-05	0.03400191959765077	6.066525852082069	0.5201633188955019	78
4421	IPG	Marketing and Advertising	62	2016-08-24 00:00:00	2527	20701	2017-02-10 00:00:00	2844	22877	369.4099070218904	0.9977048700895188	5.4511424035713674e-05	0.16351395527110096	0.6063802301585813	0.8477528143366511	78
2210	Colgate Palmolive	Consumer Goods	15	2015-09-16 00:00:00	18773	217136	2015-10-14 00:00:00	18597	223485	6685.934984049651	0.9945517514814959	0.0008875659045950978	0.49586437421838436	0.6785018529719019	1.309873928218203	77
1213	Vale	Mining & Metals	16	2018-04-21 00:00:00	42109	610688	2018-07-17 00:00:00	42986	676341	22593.656352365935	0.9883100193322206	0.00036618572112807115	0.44077952090995787	7.477413940778946	1.3266496038707667	71
1322	SQM	Chemicals	18	2016-12-16 00:00:00	2007	18001	2018-07-17 00:00:00	2437	56950	2063.7943848741093	0.9573896538309303	0.00012246611979282638	0.3850987299477083	1.3026102551130276	0.6747242400580944	66
810	HCA Healthcare	Hospital & Health Care	4	2017-10-19 00:00:00	32354	149517	2018-07-17 00:00:00	47566	187354	4078.4485883202633	0.9952454974329635	5.325104362198789e-05	0.3445694630172702	0.6557268915131437	0.6459760907863478	59
4285	Rumo	Transportation/Trucking/Railroad	32	2018-05-31 00:00:00	2174	30689	2018-07-17 00:00:00	2256	33470	1849.3085106383223	0.9968506501300578	0.0003063045118933404	0.14487031766807115	1.296510802520802	1.7710261797622753	53
