	company_name	industry_name	industryID	first_date	first_employees_on_platform	first_followers_count	last_date	last_employees_on_platform	last_followers_count	slope1	r_value1	slope2	r_value2	z-score1	z-score2	industry_total
7	ERIEBANK	Banking	5	2016-12-29 00:00:00	63	117	2018-07-17 00:00:00	87	233	6.599894624946656	0.9977514808005308	-3.6442687808186905e-05	-0.06500464758124981	-0.26642823413064115	-0.07921926075014646	327
10	Colorado State Bank and Trust	Banking	5	2016-09-06 00:00:00	215	837	2018-07-17 00:00:00	224	977	5.153009672896002	0.9641647617527173	1.3248183448554088e-05	0.11325112390359236	-0.26750396456195175	-0.06917894011079154	327
30	Banco Macro	Banking	5	2016-12-10 00:00:00	2441	17218	2018-07-17 00:00:00	3271	56019	2091.3767003830953	0.9658567481993674	6.773277294514724e-05	0.2055744773963898	1.2835622120800747	-0.058170021679416414	327
31	First Citizens Bank	Banking	5	2016-09-12 00:00:00	5014	25045	2018-07-17 00:00:00	6597	30115	205.86105728208184	0.997669050489011	2.675227646349631e-06	0.08538004862798078	-0.11828148884531947	-0.07131526542920623	327
73	Banco Santander	Banking	5	2015-09-16 00:00:00	70869	290743	2018-07-17 00:00:00	103166	496420	5413.212194977435	0.9892456812639994	6.38299425212009e-06	0.21562651255136064	3.7532814003806467	-0.07056609028624115	327
77	Salisbury Bank and Trust Company	Banking	5	2016-10-22 00:00:00	72	401	2018-07-17 00:00:00	253	584	8.567713439560228	0.997468735216388	1.1245896671126961e-06	0.005114716208204633	-0.2649651996445991	-0.07162858057368537	327
130	CharterBank	Banking	5	2016-12-29 00:00:00	137	280	2018-07-17 00:00:00	176	376	5.2573447166248455	0.9958474177012796	-1.5854533774851546e-05	-0.054404240852289454	-0.2674263935142799	-0.07505930817457006	327
156	Peapack-Gladstone Bank Private Banking since 1921	Banking	5	2016-11-23 00:00:00	310	934	2018-07-17 00:00:00	386	1637	32.78023762861048	0.9891869932347243	2.460596453496569e-05	0.12279359195208786	-0.24696366534700995	-0.0668840364197297	327
176	Hillcrest Bank.	Banking	5	2016-11-23 00:00:00	70	2091	2018-07-17 00:00:00	74	2137	1.7199056057768318	0.9340869572629671	1.9293079405219653e-06	0.04043422692488096	-0.27005640973986456	-0.07146598271043537	327
188	South State Bank	Banking	5	2017-04-10 00:00:00	1099	2176	2018-07-17 00:00:00	1897	3452	74.7333081279525	0.9919621118789043	-3.008103271206906e-06	-0.012509867455541406	-0.21577238468637483	-0.07246361447740461	327
193	Third Federal	Banking	5	2016-08-26 00:00:00	479	1101	2018-07-17 00:00:00	543	1278	6.930143638267846	0.9970429673509811	-2.2116769177797594e-06	-0.02397787949858214	-0.26618270050128356	-0.07230269204332763	327
194	1st Source Bank	Banking	5	2016-11-25 00:00:00	783	2804	2018-07-17 00:00:00	921	3523	33.441701494573934	0.9871778500029074	1.5372566060150225e-05	0.1805521721760343	-0.2464718800058045	-0.06874969662920935	327
209	Bank of Oklahoma	Banking	5	2016-09-06 00:00:00	1606	5627	2018-07-17 00:00:00	1896	7308	71.26769812869277	0.9864998677262721	1.1178585499733617e-05	0.18955490693124113	-0.21834899738386282	-0.06959711404244483	327
233	Plumas Bank	Banking	5	2016-11-23 00:00:00	98	163	2018-07-17 00:00:00	103	201	2.0910443513065218	0.985416527211652	5.244178990122683e-06	0.01669271206974297	-0.26978047540089806	-0.07079619432930306	327
251	Scotiabank	Banking	5	2015-09-16 00:00:00	35426	142360	2018-07-17 00:00:00	56010	285418	3855.1152564865815	0.9981026482605843	-5.072175384021301e-06	-0.12499116994297438	2.594867050095923	-0.07288067188274434	327
287	Wellesley Bank	Banking	5	2017-03-31 00:00:00	53	881	2018-07-17 00:00:00	58	1165	18.86349857005597	0.8857527988675971	-0.00011067811212745377	-0.34083676426519405	-0.2573104864184975	-0.09421894669070827	327
299	First Bank (FBNC)	Banking	5	2017-01-30 00:00:00	339	894	2018-07-17 00:00:00	624	1257	20.08033954031946	0.9953309840939571	1.16879338569978e-05	0.06349439635156143	-0.2564057891515014	-0.0694941973357194	327
328	Guaranty Bank	Banking	5	2017-01-17 00:00:00	149	587	2018-07-17 00:00:00	172	709	7.38431010133464	0.9806612829940538	5.645529714453488e-06	0.029348207281095183	-0.26584503669151816	-0.07071509915308251	327
346	Landmark National Bank	Banking	5	2016-11-21 00:00:00	180	519	2018-07-17 00:00:00	200	619	4.961285767153788	0.9921346492267444	1.4648481083852121e-06	0.009122193228664102	-0.26764650750534497	-0.07155982943762716	327
367	Illinois Bank & Trust	Banking	5	2016-12-02 00:00:00	56	178	2018-07-17 00:00:00	63	301	6.933439262827089	0.9849289738793662	-6.222767663574148e-06	-0.013923747979009743	-0.26618025026940884	-0.07311315553858908	327
390	Valley National Bank	Banking	5	2016-12-21 00:00:00	1066	3741	2018-07-17 00:00:00	1694	5935	104.11320629488144	0.9592798102962422	6.108641104803649e-05	0.4361831853694994	-0.19392900972958993	-0.05951295656553255	327
394	Bank of Arizona	Banking	5	2016-09-06 00:00:00	116	542	2018-07-17 00:00:00	119	672	5.542659089150725	0.9926036755043217	7.864192075677372e-06	0.05303456061481497	-0.2672142679043056	-0.07026680591664354	327
408	Bankwell	Banking	5	2016-12-24 00:00:00	95	478	2018-07-17 00:00:00	122	712	12.004614736025536	0.9942111476295665	-1.3883424965649289e-05	-0.0523563306147561	-0.2624099313015435	-0.07466103452874898	327
411	BNB Bank	Banking	5	2018-01-04 00:00:00	298	1952	2018-07-17 00:00:00	344	2133	28.077935981708034	0.9984037958477039	1.2875787981333268e-05	0.041072568521427454	-0.25045973389869797	-0.06925418471409546	327
427	Orrstown Bank	Banking	5	2017-02-17 00:00:00	264	892	2018-07-17 00:00:00	293	1060	9.979460214923972	0.9980719781129566	-2.7046138597368593e-06	-0.017734043616983667	-0.26391559375477974	-0.07240229273108094	327
431	Macatawa Bank	Banking	5	2017-02-06 00:00:00	335	2879	2018-07-17 00:00:00	352	3127	14.838594768806223	0.9313701803302954	9.994432004273775e-06	0.14134263170130124	-0.2603029230292769	-0.06983637893114442	327
445	First Commonwealth Bank	Banking	5	2016-12-16 00:00:00	755	2245	2018-07-17 00:00:00	981	2919	35.30157074997908	0.9972899625716739	3.813796313796496e-06	0.03638209810143564	-0.24508910388842023	-0.07108521121196328	327
